,Seniority,Time,Age,Records,Expenses,Income,Assets,Debt,Amount,Price,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,60,30,1,73,129.0,0.0,0.0,800,846,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,17,60,58,1,48,131.0,0.0,0.0,1000,1658,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,0,60,24,1,63,182.0,2500.0,0.0,900,1325,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,0,36,26,1,46,107.0,0.0,0.0,310,910,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,1,60,36,1,75,214.0,3500.0,0.0,650,1645,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
7,9,12,27,1,35,80.0,0.0,0.0,200,1093,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
10,6,48,34,1,60,125.0,4000.0,0.0,1150,1577,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11,7,36,29,1,60,121.0,3000.0,0.0,650,915,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
13,19,36,37,1,75,170.0,3500.0,260.0,600,940,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
15,0,24,68,1,75,131.0,4162.0,0.0,900,1186,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
16,15,24,52,1,35,330.0,16500.0,0.0,1500,2201,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
21,5,60,22,1,45,324.0,10000.0,0.0,1100,1159,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
24,26,60,51,1,45,143.0,3500.0,0.0,1350,1357,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
27,15,36,43,1,75,251.0,4000.0,0.0,1800,2557,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
34,12,36,35,1,35,170.0,0.0,0.0,1100,1542,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
35,32,24,62,1,45,119.0,8500.0,0.0,700,1200,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
36,10,24,56,1,45,208.0,13500.0,0.0,500,1560,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
37,7,48,32,1,75,115.0,3000.0,0.0,800,1200,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
39,30,60,64,1,45,120.0,14000.0,0.0,1125,1300,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
41,24,60,42,1,75,137.0,4000.0,0.0,900,1167,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42,0,60,61,1,35,230.0,50000.0,0.0,950,1150,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
46,1,60,49,1,35,233.0,15900.0,4500.0,2100,2104,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
47,15,36,47,1,75,289.0,3500.0,0.0,1500,2154,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
49,25,36,52,1,60,150.0,15000.0,0.0,750,1778,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
50,8,60,28,1,60,145.0,4000.0,1000.0,1600,1718,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
53,5,36,51,1,75,200.0,2100.0,1200.0,900,1015,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
54,3,12,37,1,60,150.0,500.0,0.0,500,1701,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
57,4,30,27,1,45,100.0,5000.0,0.0,500,1048,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
59,14,24,55,1,90,715.0,5000.0,0.0,800,1324,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
60,3,60,28,1,70,245.0,0.0,0.0,1830,2201,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
64,2,36,35,1,75,152.0,3000.0,0.0,1000,1542,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
65,15,60,43,1,75,126.0,3000.0,0.0,1350,1360,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
66,10,18,34,1,75,181.0,4000.0,0.0,600,1000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
67,4,60,37,1,60,185.0,3000.0,0.0,1200,1564,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
68,9,60,53,1,45,170.0,2500.0,0.0,850,1205,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
71,1,60,46,1,60,115.0,5500.0,800.0,1000,1137,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
72,14,48,43,1,45,200.0,9000.0,0.0,600,1025,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
74,5,24,43,1,75,93.0,3000.0,0.0,700,1735,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
75,19,60,38,1,86,108.0,0.0,0.0,1000,1132,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
77,0,36,46,2,45,45.0,0.0,0.0,900,1100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
78,9,36,55,1,70,250.0,30000.0,0.0,1750,2276,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
79,29,48,56,1,45,100.0,3000.0,0.0,900,1360,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
81,10,36,52,1,60,150.0,0.0,0.0,550,612,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
