,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
59771,0.029689737,57,0,0.283244418,10121.0,7,0,1,0,0.0
21363,0.0,57,0,0.14256225,7750.0,9,0,1,0,0.0
127325,0.036569165,48,0,0.236293951,6000.0,6,0,2,0,3.0
140510,1.018330787,41,0,0.163137729,4958.0,4,0,0,0,0.0
144298,1.008799413,49,0,3942.0,,10,0,1,0,0.0
96371,0.7986501690000001,34,0,0.29527427100000003,8950.0,8,0,2,0,0.0
49743,0.140158374,67,0,291.0,,6,0,0,0,0.0
47390,0.04593505,78,0,0.007199176999999999,5833.0,11,0,0,0,1.0
58379,0.30105534300000003,54,0,0.255097258,8533.0,12,0,1,0,0.0
69048,0.133724418,44,0,0.259474278,6200.0,9,0,2,0,2.0
88783,0.0,33,0,0.009175931,5666.0,9,0,0,0,0.0
70772,0.005545202,31,0,6.0,,2,0,0,0,0.0
20217,0.0,44,0,0.608531437,4500.0,13,0,2,0,2.0
80725,0.881514811,62,0,0.489179104,2679.0,4,0,1,0,0.0
96907,0.345982257,58,0,0.5143714070000001,4000.0,6,0,1,0,0.0
81422,0.074144247,74,0,0.009249377,5621.0,6,0,0,0,1.0
1877,0.508254824,47,0,0.58369593,7813.0,9,0,1,0,1.0
46384,0.005455228,81,0,0.479004666,4500.0,17,0,2,0,0.0
18049,0.004136176,41,0,0.472323285,7695.0,9,0,2,0,0.0
29282,0.795932437,25,1,0.037756802,1800.0,3,0,0,0,0.0
51011,0.066611829,34,0,0.20638348899999998,8333.0,5,0,1,0,0.0
76505,0.0,51,0,576.0,,5,0,1,0,0.0
134481,0.06323366,46,0,0.191144965,4200.0,6,0,1,0,1.0
100165,0.291630852,45,1,0.554770789,7503.0,17,0,4,0,0.0
96399,0.451736404,62,0,0.180824373,16739.0,8,0,2,0,0.0
74297,0.023455168,64,0,0.253984607,16500.0,28,0,2,0,1.0
103669,0.032074198,57,0,0.548886738,3098.0,8,0,1,0,0.0
100419,0.737815546,37,2,168.0,1.0,3,1,0,0,0.0
110749,0.9999998999999999,53,0,0.0,1333.0,0,0,0,0,0.0
29475,0.15885981300000002,53,0,0.43540595299999996,6416.0,12,0,1,0,1.0
62005,0.004755344,62,0,0.402355776,7470.0,10,0,3,0,2.0
56936,0.0,30,0,0.0,2000.0,3,0,0,0,0.0
24370,0.9999998999999999,71,0,0.0,8000.0,0,0,0,0,0.0
37241,0.7986245470000001,69,0,0.445263684,8001.0,8,0,2,1,0.0
90612,0.606948126,63,0,1234.0,,9,0,2,1,1.0
89673,0.047997332999999996,57,0,0.260353469,7581.0,4,0,1,0,1.0
32514,0.10277449699999999,51,0,0.162936832,9070.0,9,0,1,0,1.0
137403,0.07285367400000001,84,0,0.017301038,2600.0,4,0,0,0,1.0
108661,0.05234587,65,1,1.280929768,4000.0,11,0,4,0,0.0
117163,0.47802372600000004,43,0,0.162941961,5995.0,3,1,1,0,2.0
34128,0.0,63,0,968.0,,4,0,1,0,2.0
94661,0.038680128,52,0,1235.0,,6,0,1,0,0.0
102641,0.049259124,63,0,1003.0,,6,0,1,0,0.0
72836,0.18843048699999998,47,0,0.42989343799999996,7131.0,5,0,1,0,2.0
41679,0.0,55,0,0.0,6900.0,2,0,0,0,0.0
95771,0.012963401000000001,38,0,30.0,,7,0,0,0,1.0
142843,0.0,57,2,1981.0,,4,0,2,0,3.0
82450,0.0,55,0,0.585793137,4166.0,7,0,1,0,0.0
113687,0.779088729,52,0,0.258882342,5600.0,9,0,1,0,0.0
42247,0.164413983,65,0,1187.0,,17,0,0,0,0.0
84726,0.969549289,57,0,0.598955392,7083.0,24,0,2,0,1.0
27727,0.142738779,47,0,0.36790726100000004,4916.0,8,0,1,0,2.0
122224,0.0,53,0,0.18854057300000002,20000.0,16,0,2,0,4.0
40010,0.0,71,0,0.42332613399999997,3703.0,13,0,1,0,0.0
50464,0.078049835,45,0,0.5699600229999999,1750.0,10,0,2,0,0.0
29065,0.9999998999999999,68,0,84.0,,5,0,0,0,0.0
34966,0.224367989,47,0,0.280226164,12910.0,5,0,1,0,5.0
16623,0.8230388740000001,47,0,3715.0,,11,0,1,0,1.0
119291,0.727946115,57,0,0.272429309,18000.0,8,0,2,0,4.0
124009,0.9999998999999999,34,0,3210.0,0.0,2,0,1,0,2.0
85461,0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0
34258,0.38903219,68,0,1956.0,,8,0,1,0,0.0
50692,0.023256695,67,0,0.005346294000000001,4114.0,4,0,0,0,0.0
10673,0.206618815,42,0,0.39054077600000003,5750.0,8,0,2,0,3.0
144167,0.0,34,0,0.29843963,6600.0,10,0,0,0,2.0
7322,0.295809317,48,1,2243.0,,8,0,1,0,2.0
15111,0.330316509,67,0,1081.0,,7,0,1,0,0.0
129697,0.023899403,58,0,0.119847812,4730.0,4,0,0,0,1.0
83565,0.012477239,66,0,0.08579313699999999,8333.0,5,0,0,0,2.0
119867,0.250974903,33,0,0.061297685,3066.0,4,0,0,0,0.0
133770,0.37596865100000004,60,0,0.27549757199999997,10500.0,14,0,2,0,0.0
146286,0.954499082,31,0,0.235159342,4800.0,10,0,0,0,2.0
84222,0.228519196,40,0,0.17563739399999997,6000.0,8,0,0,0,0.0
118,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0
84950,0.049011809,49,0,1.015912481,4021.0,16,0,2,0,2.0
52889,0.064647345,65,0,0.393034826,200.0,4,0,0,0,0.0
13859,0.11099415800000001,85,0,0.026076158999999998,2415.0,1,0,0,0,0.0
136207,0.151233951,63,1,0.06469319700000001,5100.0,7,0,0,0,1.0
22935,0.246042779,70,0,0.318729785,3400.0,7,0,0,0,0.0
133891,0.7402939740000001,28,0,0.681751179,6783.0,9,0,1,0,0.0
56198,0.7411314109999999,53,1,4137.0,,21,0,2,0,1.0
87519,4.23e-05,51,0,0.06587473,8333.0,7,0,0,0,1.0
38883,0.9999998999999999,22,0,0.011976048000000001,500.0,0,0,0,0,0.0
73884,0.0029435090000000004,60,0,0.0008210180000000001,7307.0,7,0,0,0,2.0
17654,0.417553954,62,0,0.46605544600000004,4580.0,11,0,1,0,1.0
142822,0.9999998999999999,28,0,0.264532173,3216.0,5,0,0,0,0.0
84865,0.033024119,54,0,1309.0,,8,0,1,0,0.0
117264,0.9999998999999999,79,0,0.0,,0,0,0,0,0.0
34411,0.229448971,60,0,0.357169322,8096.0,15,0,1,0,1.0
117837,0.11045178,63,0,0.311815713,11416.0,20,0,1,1,1.0
7417,0.0017499129999999999,85,0,1.0,,4,0,0,0,0.0
17710,0.192080876,34,0,0.402780387,5322.0,8,0,1,0,4.0
136253,0.0,58,0,0.15131045699999998,3700.0,6,0,1,0,0.0
26211,0.6611951420000001,59,0,0.7099070140000001,8710.0,20,0,5,0,0.0
39345,0.138601336,46,0,0.6412453579999999,3500.0,23,0,2,0,0.0
116700,0.10603311,60,0,0.139124058,15000.0,7,0,1,0,0.0
95048,0.840257721,33,1,0.561643836,2700.0,8,0,0,0,0.0
51157,0.429343707,73,0,0.33582721600000004,7083.0,23,0,0,0,0.0
67234,0.9999998999999999,56,0,340.0,,5,0,0,1,
115062,0.000212721,57,0,0.165278241,3000.0,4,0,0,0,2.0
17170,0.008246998,52,0,0.363145096,3700.0,3,0,1,0,2.0
125745,0.06876913400000001,67,0,0.291585421,6666.0,13,0,2,0,3.0
46673,0.48458911200000004,37,0,0.37380374200000005,7000.0,10,0,1,0,2.0
102439,0.0,25,1,0.05891636,1900.0,2,0,0,0,0.0
146811,0.012461753,54,0,0.222196691,4351.0,11,0,1,0,0.0
10141,0.132091359,36,0,0.461418307,3200.0,8,0,2,0,1.0
111238,0.07087744,58,0,0.275158248,7740.0,18,0,1,0,0.0
116628,0.9999998999999999,34,0,1.810841984,2600.0,7,0,2,0,0.0
113106,0.053967137000000005,68,1,0.74690124,2500.0,9,0,1,0,0.0
57839,0.9999998999999999,47,0,0.757432255,3800.0,2,1,0,3,2.0
42458,0.034868996,81,0,0.017391304,4484.0,6,0,0,0,0.0
141962,0.009004321,46,0,0.017327557,3000.0,7,0,0,0,0.0
29910,0.528879393,59,0,0.639218915,8500.0,19,0,1,0,0.0
125078,0.408433359,42,0,0.46807543700000004,4400.0,7,0,1,0,1.0
51213,0.019811546,56,0,0.067488752,6000.0,19,0,1,0,0.0
109729,0.0,56,1,0.500549945,10000.0,8,0,2,0,2.0
134181,0.008867271999999999,58,0,0.25664160399999997,5984.0,10,0,1,0,1.0
140419,0.723202695,30,0,12.31840796,200.0,9,0,2,0,0.0
119333,0.046441004,41,0,0.447881961,2100.0,3,0,1,0,0.0
18608,0.0,53,0,0.37652226,5008.0,12,0,2,0,2.0
148774,0.81821487,66,0,0.098320813,4525.0,12,0,0,0,0.0
31588,0.428398505,45,0,0.339366516,3756.0,8,0,1,0,0.0
49188,0.0,33,0,806.0,,6,0,1,0,0.0
24258,0.8518935129999999,31,0,0.15557638199999999,3200.0,2,0,0,0,0.0
82973,0.227737854,53,0,1.372434018,3750.0,12,0,2,0,0.0
140114,0.034390557,65,0,0.225815144,3710.0,10,0,0,0,1.0
