,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
41981,0.9999998999999999,55,0,0.132851696,4982.0,1,1,0,0,0.0
7488,0.41962755399999996,63,1,0.43875612399999997,10000.0,13,1,2,0,0.0
25706,0.147334739,54,0,0.031626085,3572.0,8,0,0,0,1.0
49307,0.7624087709999999,39,0,0.529433543,2700.0,6,0,0,0,4.0
4891,0.0,60,3,0.292697378,6750.0,5,1,1,2,0.0
27965,0.76147208,46,0,0.494569902,5800.0,7,0,1,0,2.0
126236,0.22100749600000003,61,0,0.618258353,3800.0,10,0,2,0,0.0
61986,0.944375952,41,5,0.285031155,6900.0,10,2,0,0,3.0
116582,0.8679494440000001,62,1,0.456806283,4583.0,15,0,1,0,3.0
103668,0.256510533,29,1,8901.0,0.0,17,0,9,0,1.0
14500,1.194825559,59,0,0.40921710200000005,1800.0,3,3,1,3,0.0
109111,0.024560965,27,0,1.432783608,2000.0,5,1,1,0,0.0
39707,0.658544156,53,0,0.951917573,5240.0,17,0,4,1,1.0
227,1.9534883719999998,38,0,0.153500141,3556.0,5,0,0,0,2.0
94269,0.7522343159999999,47,0,0.44357541899999997,2684.0,10,0,1,0,2.0
148331,0.137196324,47,1,0.7246294990000001,7084.0,10,0,2,0,2.0
74828,0.911941165,35,0,0.589483612,4240.0,7,0,1,0,1.0
77993,0.419186106,45,0,0.587948954,7600.0,13,0,1,0,2.0
90203,0.9999998999999999,24,1,0.036654449,3000.0,4,2,0,0,0.0
49333,0.15733887400000002,58,2,1626.0,,10,0,1,0,0.0
39589,0.115114261,72,0,0.01995184,5813.0,6,0,0,0,0.0
137636,0.586044688,44,0,0.64929546,4470.0,7,0,2,0,0.0
115810,0.9999998999999999,56,0,0.058659555999999995,8250.0,2,2,0,1,0.0
81821,0.8110354059999999,37,0,0.366663155,9490.0,9,0,2,0,2.0
140869,1.164261931,56,1,0.141653502,3797.0,6,3,0,2,1.0
75274,0.9999998999999999,51,0,0.0,,1,0,0,0,5.0
2496,0.451376082,48,0,2.51196093,12080.0,29,0,17,0,2.0
3712,0.9999998999999999,28,0,0.44433448799999997,2020.0,3,1,0,0,0.0
98999,0.9999998999999999,28,0,0.254477301,2400.0,6,0,0,0,0.0
107884,0.004701008,66,0,0.000499917,6000.0,3,0,0,1,0.0
42313,0.619557459,24,0,0.009024644,2880.0,1,0,0,0,0.0
33821,0.024127851000000002,69,0,0.423622413,4300.0,16,0,1,0,2.0
43053,0.142732024,48,0,0.390227082,20300.0,22,0,5,0,3.0
87163,1.1921014140000001,48,2,0.9412235109999999,2500.0,13,1,1,0,2.0
134201,0.9999998999999999,57,0,0.36315921,4000.0,3,1,1,1,3.0
41135,0.573796369,36,0,0.322923173,1600.0,8,0,0,1,2.0
42557,0.612903226,56,0,0.29633044399999997,5422.0,9,0,0,1,0.0
140650,1.976744186,46,1,0.116823765,3500.0,2,2,0,0,0.0
45862,0.055463838,56,2,0.136095989,9000.0,22,0,1,0,0.0
111061,0.7310360909999999,60,2,0.359737807,9000.0,17,1,2,0,0.0
119249,0.13094009,39,0,0.077288942,9250.0,3,0,0,0,0.0
116270,0.026134003,77,0,0.148528992,3500.0,9,0,1,0,0.0
26154,0.9999998999999999,44,0,0.666547662,2800.0,2,0,0,0,2.0
33405,0.9999998999999999,28,2,0.666666667,2573.0,4,2,0,1,2.0
81416,0.7619375970000001,49,3,0.207368599,5916.0,10,0,2,0,2.0
20950,0.553131533,36,0,0.630619101,6250.0,9,1,1,0,0.0
96197,0.962700386,44,0,0.19944636699999999,7224.0,6,0,0,0,4.0
38250,0.689748997,38,2,0.650817884,4584.0,13,1,2,0,0.0
144449,0.9999998999999999,32,0,106.0,,0,3,0,1,0.0
64155,0.9850025859999999,56,4,0.428350356,3230.0,6,2,1,0,0.0
35042,0.029850746,42,0,685.0,,3,2,0,1,0.0
95603,0.19689456100000002,40,1,72.0,,2,0,0,0,0.0
74786,1.036867172,42,3,0.664399926,5440.0,12,0,2,0,3.0
93507,0.582237619,47,0,409.0,,10,0,0,0,0.0
63661,0.134393975,64,2,0.07177395,6617.0,13,0,0,0,0.0
110723,0.865814437,54,1,0.361725664,8135.0,11,0,2,3,2.0
137052,0.7931062520000001,35,1,0.09830056599999999,3000.0,3,0,0,1,4.0
123986,0.9999998999999999,22,0,0.221462388,1900.0,1,0,0,0,0.0
146582,0.884873589,25,0,0.320441989,3800.0,7,0,0,0,1.0
70398,1.5323117919999998,65,1,482.0,,1,5,0,0,0.0
28087,0.0,73,1,0.671875,1727.0,3,0,1,1,0.0
113575,0.876123876,41,1,220.0,,4,3,0,0,0.0
37580,0.15428528800000002,47,1,0.423365428,17863.0,13,0,2,0,2.0
45913,0.9999998999999999,34,0,0.015546918,1800.0,0,0,0,0,0.0
65349,0.9225149009999999,26,1,776.0,,6,0,0,2,0.0
25622,1.157728707,46,0,0.34138218200000003,1200.0,4,0,0,1,1.0
121426,1.050794921,30,2,0.48722597700000003,6066.0,8,0,2,3,0.0
125293,0.24859227,50,0,1.172327857,10833.0,22,0,2,0,0.0
97489,0.911043458,35,3,0.34237015200000004,7450.0,7,0,1,0,2.0
54244,0.0,36,1,0.599189021,3205.0,6,1,1,2,2.0
48086,0.9841854529999999,40,3,0.6969195779999999,4836.0,22,0,1,0,1.0
61812,1.06942516,46,9,0.346173868,1920.0,11,1,0,1,1.0
14145,0.093460415,59,1,0.39680071100000003,4500.0,12,0,1,0,0.0
23214,0.8285248690000001,40,0,0.12368763099999999,10000.0,5,0,0,0,0.0
114470,0.875555794,56,0,0.6751483620000001,12300.0,19,0,6,0,0.0
53041,0.9999998999999999,36,0,0.167708073,4000.0,1,4,0,0,0.0
95273,0.12024023699999999,43,0,0.477932212,4100.0,16,1,1,0,3.0
53747,0.0,49,3,0.289413307,3050.0,5,0,0,0,1.0
73050,0.937354215,43,1,0.380330579,6049.0,4,0,1,0,3.0
10767,0.51795338,52,0,0.26818722300000003,9250.0,11,0,2,1,2.0
133709,0.9999998999999999,50,1,0.160661955,5800.0,2,0,0,0,0.0
145178,0.947815368,30,0,849.0,,4,2,0,1,0.0
34270,0.75756061,40,3,0.524241933,6166.0,8,2,2,2,1.0
29362,0.779468507,41,1,2.147901399,1500.0,12,0,3,0,3.0
9318,0.9999998999999999,31,0,0.102179564,5000.0,1,0,0,0,0.0
8267,0.49366514,34,1,0.419942077,7250.0,10,0,2,0,0.0
97794,0.739473314,40,0,0.487837388,6001.0,7,0,2,0,2.0
47696,0.367848017,63,0,0.147442535,4828.0,5,1,0,0,1.0
91941,0.953003133,44,0,1056.0,,3,0,0,0,0.0
133572,0.987004332,57,3,0.363998861,3510.0,6,0,0,0,1.0
92026,0.659597941,61,0,0.744095365,8975.0,18,0,2,1,0.0
96075,0.827968923,33,2,3956.0,,11,1,2,2,0.0
82821,1.064387123,51,2,0.693641618,2940.0,6,0,1,1,1.0
15465,0.9999998999999999,32,1,0.44616662100000004,7225.0,6,0,0,0,1.0
143121,0.950166113,49,0,0.098757952,3300.0,2,0,0,1,3.0
139894,0.968080935,54,0,0.6209201120000001,6433.0,4,0,1,0,1.0
68974,0.9999998999999999,34,2,0.249401523,4594.0,7,1,1,0,0.0
54398,0.309373254,54,1,4369.0,,16,0,2,0,0.0
59785,0.052094790999999994,68,0,0.002678093,5600.0,5,0,0,0,0.0
106061,0.9999998999999999,42,98,0.0,3200.0,0,98,0,98,1.0
74158,0.45453462899999997,44,0,1.075231192,4000.0,8,0,1,0,4.0
42948,0.9999998999999999,23,0,0.089385475,1789.0,0,1,0,0,0.0
1092,0.9999998999999999,41,0,219.0,,1,2,0,1,
103995,1.0021734409999998,25,2,0.09673790800000001,8000.0,4,0,0,0,0.0
74193,0.0,54,0,3604.0,,7,0,1,0,0.0
142295,0.0,57,1,0.279113753,3700.0,8,0,1,0,0.0
107542,0.999333777,49,1,0.102389878,8535.0,5,0,1,0,0.0
82331,0.9999998999999999,47,0,13.0,,0,0,0,1,0.0
99117,1.00419916,29,0,0.225606854,2100.0,9,0,0,0,2.0
73836,0.9999998999999999,47,0,0.5028323889999999,3000.0,6,0,2,0,1.0
27608,1.079607415,46,4,0.127104655,3028.0,9,1,0,0,4.0
60200,0.060416867,52,4,1403.0,,12,1,1,3,2.0
10040,0.011478065,42,0,0.32794954600000004,6500.0,6,0,1,0,0.0
133566,0.542813536,39,0,0.534687311,9945.0,6,0,1,0,3.0
120047,0.981277592,27,0,0.367088608,1500.0,6,0,0,0,0.0
79884,0.9999998999999999,35,1,0.127567255,3456.0,1,0,0,0,5.0
7356,0.907706171,45,1,0.360045912,19166.0,15,0,2,0,2.0
63061,0.057911027000000004,33,0,93.0,,4,0,0,0,0.0
59729,0.044738099,33,0,0.483303339,5000.0,12,0,2,0,1.0
8043,0.43649535899999997,46,1,543.0,,6,0,0,0,0.0
105171,0.884743504,46,2,0.551809998,5220.0,5,1,1,1,2.0
113426,0.9999998999999999,32,0,1494.0,,4,4,0,3,0.0
40577,0.44592567899999996,31,0,0.009140981999999999,8532.0,6,0,0,1,2.0
80524,0.567829174,82,0,0.47631397,5783.0,12,0,1,0,0.0
102388,0.417715345,61,1,0.49731607200000005,9500.0,4,1,1,1,0.0
27349,0.484357022,48,0,0.33826600100000004,11014.0,7,0,1,0,1.0
58005,0.971751412,63,1,0.600393701,2539.0,8,0,0,0,0.0
139965,0.123622157,52,0,0.242864054,6200.0,4,0,1,0,1.0
