,Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
0,1,9,1,60,30,2,1,3,73,129,0,0,800,846
1,1,17,1,60,58,3,1,1,48,131,0,0,1000,1658
2,2,10,2,36,46,2,2,3,90,200,3000,0,2000,2985
3,1,0,1,60,24,1,1,1,63,182,2500,0,900,1325
4,1,0,1,36,26,1,1,1,46,107,0,0,310,910
5,1,1,2,60,36,2,1,1,75,214,3500,0,650,1645
7,1,9,5,12,27,1,1,1,35,80,0,0,200,1093
9,2,0,5,48,41,2,1,2,90,80,0,0,1200,1468
10,1,6,2,48,34,2,1,3,60,125,4000,0,1150,1577
11,1,7,2,36,29,2,1,1,60,121,3000,0,650,915
13,1,19,3,36,37,2,1,1,75,170,3500,260,600,940
15,1,0,2,24,68,2,1,1,75,131,4162,0,900,1186
16,1,15,3,24,52,1,1,3,35,330,16500,0,1500,2201
18,2,0,4,48,36,2,1,2,45,130,750,0,1100,1511
20,2,2,1,60,25,1,1,1,46,107,0,0,1500,2189
21,1,5,2,60,22,1,1,1,45,324,10000,0,1100,1159
22,2,1,2,60,45,2,1,2,105,112,2000,500,600,1332
24,1,26,2,60,51,2,1,1,45,143,3500,0,1350,1357
27,1,15,2,36,43,2,1,1,75,251,4000,0,1800,2557
28,2,3,2,24,23,2,1,1,75,85,5000,0,600,1600
31,2,0,2,36,23,1,1,2,45,122,2500,0,400,400
34,1,12,5,36,35,1,1,1,35,170,0,0,1100,1542
35,1,32,2,24,62,2,1,3,45,119,8500,0,700,1200
36,1,10,2,24,56,2,1,3,45,208,13500,0,500,1560
37,1,7,2,48,32,2,1,1,75,115,3000,0,800,1200
38,2,1,1,54,36,2,1,1,70,99,0,0,950,950
39,1,30,2,60,64,2,1,1,45,120,14000,0,1125,1300
40,2,5,1,48,31,1,1,1,44,90,0,0,1300,1700
41,1,24,2,60,42,2,1,1,75,137,4000,0,900,1167
42,1,0,2,60,61,3,1,4,35,230,50000,0,950,1150
46,1,1,2,60,49,3,1,3,35,233,15900,4500,2100,2104
47,1,15,2,36,47,2,1,1,75,289,3500,0,1500,2154
48,2,2,1,36,27,4,1,1,48,128,0,0,450,545
49,1,25,2,36,52,2,1,3,60,150,15000,0,750,1778
50,1,8,2,60,28,2,1,1,60,145,4000,1000,1600,1718
53,1,5,2,36,51,2,1,3,75,200,2100,1200,900,1015
54,1,3,5,12,37,2,1,3,60,150,500,0,500,1701
55,2,1,1,48,29,2,2,3,85,100,0,0,1000,1345
57,1,4,5,30,27,1,1,1,45,100,5000,0,500,1048
59,1,14,2,24,55,2,1,1,90,715,5000,0,800,1324
60,1,3,1,60,28,2,1,1,70,245,0,0,1830,2201
62,2,4,5,42,27,1,1,1,35,70,0,0,600,926
64,1,2,2,36,35,2,1,1,75,152,3000,0,1000,1542
65,1,15,3,60,43,2,1,1,75,126,3000,0,1350,1360
66,1,10,2,18,34,2,1,3,75,181,4000,0,600,1000
67,1,4,2,60,37,2,1,1,60,185,3000,0,1200,1564
68,1,9,2,60,53,2,1,1,45,170,2500,0,850,1205
71,1,1,3,60,46,2,1,1,60,115,5500,800,1000,1137
72,1,14,2,48,43,2,1,1,45,200,9000,0,600,1025
74,1,5,2,24,43,2,1,1,75,93,3000,0,700,1735
75,1,19,1,60,38,2,1,1,86,108,0,0,1000,1132
77,1,0,6,36,46,2,2,4,45,45,0,0,900,1100
78,1,9,1,36,55,2,1,1,70,250,30000,0,1750,2276
79,1,29,2,48,56,2,1,1,45,100,3000,0,900,1360
81,1,10,5,36,52,2,1,1,60,150,0,0,550,612
82,2,1,2,36,29,2,1,1,60,70,4500,0,850,1100
83,1,11,2,60,39,5,2,1,35,263,2500,0,1000,1300
85,1,5,2,24,24,1,1,1,35,78,6000,3000,500,2262
86,1,10,1,60,28,1,1,1,47,120,0,0,600,1054
87,1,27,2,60,53,2,1,1,60,125,10000,0,1426,1426
88,2,0,1,60,25,1,1,2,40,50,0,0,1040,1048
89,2,25,1,60,62,2,1,1,60,146,0,0,1000,1292
90,1,3,5,60,29,1,1,1,35,70,0,0,950,1177
91,2,9,5,60,32,1,2,1,35,105,0,0,1490,1490
92,1,4,1,36,21,2,1,3,101,413,6000,0,750,850
94,1,9,1,48,56,2,1,3,140,350,0,0,1400,1571
97,1,3,2,60,54,3,1,4,35,80,4000,0,950,1382
98,1,30,2,36,51,2,1,3,120,208,15000,0,1500,1713
101,1,2,1,60,33,2,1,1,73,130,0,0,1100,1610
104,2,2,6,48,23,1,1,1,35,140,0,0,1950,2175
105,1,8,2,24,33,2,1,1,75,315,4500,0,400,1780
106,2,1,1,36,24,2,1,2,76,164,0,0,900,950
107,2,6,5,60,28,2,1,3,90,325,7000,0,1200,1211
110,1,11,1,60,32,2,1,1,79,185,0,0,950,1117
111,1,10,2,24,39,2,1,1,45,217,9000,3000,1500,2468
112,2,20,2,60,51,2,1,3,90,300,12500,2500,1340,1740
114,1,13,2,48,29,2,1,1,60,253,3000,0,670,963
115,2,2,2,36,32,2,1,1,75,101,1500,400,1200,1646
116,2,3,2,36,40,2,2,3,35,200,10000,0,800,800
117,1,12,2,36,47,2,1,1,75,124,3500,0,460,470
118,1,20,2,24,66,2,1,1,45,143,10000,0,950,1370
119,1,3,3,48,39,4,1,3,35,250,4000,1500,700,839
121,1,4,1,60,25,2,1,1,57,115,0,0,900,1350
123,1,18,1,60,54,2,1,1,66,214,0,0,1300,1307
125,1,12,2,48,35,4,1,3,45,500,200000,0,2380,4786
126,2,0,5,60,23,1,1,2,35,95,0,0,1400,1478
127,1,12,2,60,52,2,1,1,75,200,12000,0,1550,1568
128,1,0,5,24,22,1,1,2,35,85,0,0,650,1056
129,1,10,6,18,48,2,1,1,90,214,0,0,1000,1608
130,1,2,2,60,25,2,1,1,75,140,3000,0,950,1179
131,2,10,6,60,26,2,1,1,45,60,0,0,1400,1524
133,1,20,2,30,62,2,1,3,60,300,24000,9000,600,823
135,1,16,5,60,41,2,1,1,75,242,0,0,1300,1482
136,1,4,2,60,29,2,1,2,60,155,5000,2500,900,1110
137,2,1,1,60,37,1,1,1,45,100,0,0,1150,1555
138,1,0,2,60,31,2,1,1,60,105,3500,0,1100,1170
140,2,13,1,60,42,4,2,1,47,120,0,0,800,1395
141,1,19,2,36,33,2,1,1,60,115,6700,2000,1000,2084
142,1,15,2,24,54,2,1,3,90,350,150000,0,3800,8800
143,1,40,2,36,58,2,1,3,75,0,50000,0,1000,1160
