,Seniority,Time,Age,Records,Expenses,Income,Assets,Debt,Amount,Price,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,10,36,46,2,90,200.0,3000.0,0.0,2000,2985,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9,0,48,41,1,90,80.0,0.0,0.0,1200,1468,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
18,0,48,36,1,45,130.0,750.0,0.0,1100,1511,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
20,2,60,25,1,46,107.0,0.0,0.0,1500,2189,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
22,1,60,45,1,105,112.0,2000.0,500.0,600,1332,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
28,3,24,23,1,75,85.0,5000.0,0.0,600,1600,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
31,0,36,23,1,45,122.0,2500.0,0.0,400,400,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
38,1,54,36,1,70,99.0,0.0,0.0,950,950,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40,5,48,31,1,44,90.0,0.0,0.0,1300,1700,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
48,2,36,27,1,48,128.0,0.0,0.0,450,545,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
55,1,48,29,2,85,100.0,0.0,0.0,1000,1345,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
62,4,42,27,1,35,70.0,0.0,0.0,600,926,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
82,1,36,29,1,60,70.0,4500.0,0.0,850,1100,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
88,0,60,25,1,40,50.0,0.0,0.0,1040,1048,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
89,25,60,62,1,60,146.0,0.0,0.0,1000,1292,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
91,9,60,32,2,35,105.0,0.0,0.0,1490,1490,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
104,2,48,23,1,35,140.0,0.0,0.0,1950,2175,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
106,1,36,24,1,76,164.0,0.0,0.0,900,950,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
107,6,60,28,1,90,325.0,7000.0,0.0,1200,1211,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
112,20,60,51,1,90,300.0,12500.0,2500.0,1340,1740,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
115,2,36,32,1,75,101.0,1500.0,400.0,1200,1646,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
116,3,36,40,2,35,200.0,10000.0,0.0,800,800,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
126,0,60,23,1,35,95.0,0.0,0.0,1400,1478,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
131,10,60,26,1,45,60.0,0.0,0.0,1400,1524,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
137,1,60,37,1,45,100.0,0.0,0.0,1150,1555,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
140,13,60,42,2,47,120.0,0.0,0.0,800,1395,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
145,12,60,31,2,35,101.0,0.0,0.0,1300,1300,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
146,0,36,35,2,105,122.0,5200.0,2000.0,850,850,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
153,0,60,25,1,60,60.0,0.0,0.0,1300,1380,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
154,0,60,23,1,35,205.0,0.0,0.0,1400,1426,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
165,6,48,58,2,60,400.0,86000.0,0.0,930,945,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
167,5,36,32,1,75,125.0,6000.0,0.0,600,700,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
176,0,60,48,2,35,,25300.0,15500.0,1200,1257,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
187,13,60,31,1,60,105.0,0.0,0.0,1200,1423,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
189,9,24,30,2,46,113.0,0.0,0.0,700,700,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
207,1,60,22,1,35,80.0,3000.0,0.0,1500,1514,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
212,4,36,19,1,35,63.0,0.0,0.0,1000,1035,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
213,5,36,22,1,35,88.0,0.0,0.0,750,1218,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
215,1,60,44,1,45,115.0,2000.0,0.0,750,953,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
232,4,24,40,2,56,214.0,0.0,0.0,800,1200,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
241,10,60,43,1,90,,0.0,0.0,1350,1668,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
246,0,60,22,1,35,55.0,0.0,0.0,950,1462,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
249,0,48,28,1,45,80.0,1500.0,0.0,1260,1634,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
259,0,12,37,1,88,130.0,0.0,0.0,250,375,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
268,2,36,33,1,75,220.0,16000.0,500.0,3000,4100,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
277,2,60,35,2,75,,0.0,0.0,1000,1206,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
300,7,60,25,1,45,50.0,0.0,0.0,950,1378,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
303,5,60,35,1,75,60.0,3000.0,400.0,1150,1406,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
306,27,60,50,2,87,120.0,0.0,0.0,1300,1350,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
307,3,60,25,1,35,283.0,0.0,0.0,2000,2032,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
310,1,60,36,2,85,99.0,0.0,0.0,1200,1275,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
311,10,36,39,2,75,160.0,15000.0,0.0,3250,3750,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
317,1,60,38,1,45,,0.0,0.0,1500,1850,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
320,1,48,31,1,87,115.0,0.0,0.0,1100,1672,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
328,5,60,27,1,75,66.0,3000.0,0.0,600,850,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
333,10,60,38,2,90,80.0,3000.0,1749.0,1030,1095,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
338,35,48,52,1,60,135.0,5000.0,0.0,1200,1400,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
347,0,12,61,1,60,40.0,4000.0,0.0,170,1394,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
348,2,24,59,1,110,50.0,0.0,0.0,200,425,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
352,5,60,25,1,75,160.0,1000.0,0.0,890,990,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
355,1,60,42,2,45,,0.0,0.0,1600,1780,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
357,6,60,32,1,75,160.0,2200.0,600.0,1550,1600,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
363,0,36,34,1,75,80.0,4500.0,300.0,600,1339,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
365,21,60,44,1,90,105.0,1150.0,720.0,200,1078,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
374,7,60,32,1,75,156.0,3500.0,0.0,1300,1553,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
379,0,24,20,1,60,152.0,2000.0,0.0,400,480,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
383,1,48,18,1,35,81.0,0.0,0.0,1150,1314,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
389,1,48,23,1,35,165.0,0.0,0.0,1300,1440,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
392,11,60,38,2,90,245.0,4000.0,0.0,1700,1768,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
394,1,48,42,2,75,200.0,9000.0,4500.0,1400,1700,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
397,1,48,34,2,45,200.0,3000.0,1500.0,1000,1191,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
399,4,60,42,2,70,350.0,0.0,0.0,2200,2441,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
400,0,48,24,1,60,105.0,0.0,0.0,1200,1516,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
404,0,36,34,1,49,140.0,0.0,0.0,1150,1600,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
417,1,60,35,1,90,42.0,5000.0,100.0,500,1300,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
421,15,36,43,1,75,,15000.0,2000.0,1100,1720,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
423,1,48,40,1,82,69.0,0.0,0.0,1100,1197,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
425,1,36,22,2,35,50.0,0.0,0.0,425,450,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
428,9,60,32,2,71,109.0,0.0,0.0,1135,1355,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
431,33,48,59,2,45,114.0,10000.0,0.0,1200,1420,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
435,3,60,40,1,75,246.0,2500.0,0.0,1300,1500,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
447,2,48,36,1,85,95.0,0.0,0.0,1340,1771,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
451,3,60,19,1,45,198.0,2500.0,0.0,1100,1194,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
460,3,60,34,2,75,200.0,2500.0,0.0,1350,1589,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
462,0,48,29,1,35,55.0,4000.0,0.0,757,1566,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
466,2,60,46,1,49,136.0,0.0,0.0,1500,1687,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
482,2,54,24,2,35,,0.0,0.0,1800,2646,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
483,15,60,37,1,90,90.0,5000.0,1800.0,1500,1816,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
484,0,60,43,1,75,,0.0,0.0,1400,1700,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
496,12,60,55,2,62,170.0,0.0,0.0,1800,2154,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
499,2,60,31,1,35,55.0,7500.0,0.0,800,1351,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
500,30,60,56,1,45,80.0,10000.0,0.0,1500,2040,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
502,0,48,25,1,35,139.0,0.0,0.0,1200,1202,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
504,5,24,41,1,35,,0.0,0.0,500,1000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
509,3,60,37,1,90,166.0,3000.0,0.0,800,877,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
514,1,36,28,1,52,170.0,0.0,0.0,350,1500,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
523,4,60,28,1,45,135.0,0.0,0.0,1350,1471,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
533,13,54,52,1,75,80.0,4000.0,0.0,1300,1394,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
547,16,60,42,1,75,81.0,3500.0,0.0,870,873,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
548,1,60,23,1,35,100.0,0.0,0.0,1210,1450,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
549,0,60,40,2,75,260.0,2500.0,0.0,1500,1607,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
556,13,60,40,1,64,35.0,2500.0,0.0,1920,1920,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
558,0,36,28,2,45,297.0,8000.0,0.0,1360,1362,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
559,1,60,33,1,91,161.0,0.0,0.0,1700,1770,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
566,0,60,31,1,60,,0.0,0.0,1400,1500,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
571,3,36,25,1,45,,0.0,0.0,900,1270,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
574,0,60,27,1,45,113.0,3000.0,1500.0,1200,1532,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
577,0,60,47,1,75,156.0,2000.0,200.0,600,1556,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
579,1,60,42,1,120,143.0,5500.0,2000.0,1160,1285,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
580,17,48,52,1,93,180.0,0.0,0.0,1200,1338,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
581,0,60,26,1,35,,0.0,0.0,1200,1571,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
587,8,36,48,2,35,121.0,3000.0,0.0,400,925,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
593,13,60,30,2,75,85.0,3500.0,0.0,1100,1417,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
603,1,24,50,1,60,125.0,5000.0,3000.0,360,510,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
606,0,48,35,2,60,300.0,0.0,0.0,1400,1748,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
607,9,60,34,2,75,300.0,4000.0,300.0,1000,1392,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
610,19,60,37,2,35,115.0,10000.0,6000.0,1500,1758,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
623,0,60,38,1,90,86.0,5000.0,0.0,1600,1682,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
629,21,60,55,1,56,107.0,0.0,0.0,1100,1353,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
632,10,60,58,1,82,470.0,0.0,0.0,1350,1488,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
637,2,48,25,1,45,90.0,3000.0,2000.0,800,1567,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
645,11,60,37,2,74,135.0,0.0,0.0,1400,1937,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
648,1,60,25,1,60,137.0,2700.0,1900.0,1150,1255,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
652,11,18,39,2,60,,0.0,0.0,250,400,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
653,0,60,29,2,45,100.0,4500.0,0.0,1200,1406,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
671,15,36,49,1,75,70.0,3572.0,1728.0,1650,2755,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
672,3,60,34,2,85,100.0,0.0,0.0,1000,1600,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
681,1,60,24,1,52,70.0,0.0,0.0,1200,1360,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
688,6,48,32,2,35,85.0,0.0,0.0,1100,1330,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
695,2,36,37,1,105,300.0,5000.0,0.0,1000,1570,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
698,4,48,27,1,75,,3000.0,2000.0,900,1150,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
699,15,60,37,2,107,319.0,0.0,0.0,1800,2215,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
700,20,60,49,1,85,100.0,0.0,0.0,1420,1586,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
707,0,24,47,1,35,,20000.0,4000.0,900,1100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
709,3,60,23,1,35,63.0,0.0,0.0,800,1258,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
713,0,36,36,1,35,,0.0,0.0,1250,1575,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
714,9,60,28,1,90,64.0,1750.0,0.0,1055,1430,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
715,0,60,36,1,45,,0.0,0.0,1400,1409,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
723,2,60,24,1,45,126.0,0.0,0.0,1450,1585,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
730,5,60,24,1,56,111.0,0.0,0.0,1000,1570,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
732,0,48,43,1,75,,0.0,0.0,1400,1590,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
735,1,48,36,2,35,173.0,7700.0,0.0,1000,2008,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
739,3,48,43,1,73,126.0,0.0,0.0,1300,1770,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
745,2,60,42,2,35,,0.0,0.0,1900,2259,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
747,10,48,40,1,66,60.0,0.0,0.0,500,820,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
753,14,60,44,1,75,100.0,3500.0,0.0,1210,1450,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
757,6,48,65,1,69,237.0,0.0,0.0,1571,1571,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
762,0,36,36,2,45,300.0,30000.0,0.0,3000,6802,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
766,4,6,42,1,45,275.0,4800.0,1200.0,2400,3400,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
767,2,48,40,2,90,250.0,9000.0,7000.0,1250,1776,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
769,18,48,43,1,90,100.0,3500.0,0.0,1400,1403,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
770,4,60,38,2,118,130.0,0.0,0.0,900,1086,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
782,1,60,33,1,75,76.0,2500.0,550.0,800,1105,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
784,0,18,50,1,135,,2000.0,0.0,700,1256,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
791,1,48,19,1,35,70.0,0.0,0.0,1000,1075,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
796,1,60,27,1,43,75.0,0.0,0.0,1000,1375,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
797,0,60,34,1,35,70.0,0.0,0.0,900,1005,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
806,2,24,41,2,135,959.0,2000.0,500.0,1050,1474,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
813,4,60,42,1,75,135.0,4000.0,0.0,978,978,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
814,3,60,25,1,35,225.0,0.0,0.0,1130,1130,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
820,4,36,38,2,60,145.0,0.0,0.0,650,1000,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
821,22,60,50,1,90,210.0,16000.0,0.0,2100,2500,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
822,1,60,29,2,35,102.0,0.0,0.0,1100,1120,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
823,10,24,52,1,45,,2000.0,0.0,400,1242,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
827,15,60,33,2,64,36.0,0.0,0.0,1150,1150,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
840,1,36,39,1,85,100.0,0.0,0.0,600,975,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
848,13,60,34,1,35,56.0,7000.0,1500.0,1250,1525,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
863,0,48,39,1,60,200.0,5500.0,0.0,3075,4575,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
872,0,60,47,2,45,250.0,100000.0,0.0,1300,1700,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
875,15,60,36,2,97,65.0,0.0,0.0,1000,1168,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
880,1,48,26,1,35,116.0,2000.0,0.0,1100,1123,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
883,2,60,24,1,70,100.0,0.0,0.0,900,1127,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
885,1,60,20,1,35,113.0,13000.0,0.0,1500,2179,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
890,1,60,52,1,55,99.0,0.0,0.0,750,873,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
892,5,60,43,2,75,166.0,7000.0,700.0,1000,1040,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
899,1,60,30,1,35,70.0,0.0,0.0,925,925,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
913,1,48,47,1,74,140.0,0.0,0.0,2000,2201,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
923,3,60,23,1,35,71.0,1500.0,0.0,1150,1386,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
934,4,60,33,1,82,69.0,0.0,0.0,2000,2216,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
939,3,48,38,1,75,40.0,3500.0,0.0,600,882,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
941,0,24,29,1,60,,0.0,0.0,275,275,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
942,0,36,21,1,45,161.0,2500.0,0.0,580,580,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
946,4,48,29,2,42,73.0,0.0,0.0,579,1097,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
950,2,60,23,1,45,78.0,5000.0,6300.0,1075,1123,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
951,10,36,36,1,75,,10000.0,0.0,1000,1400,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
959,1,36,33,1,35,125.0,0.0,0.0,600,1600,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
962,11,36,52,1,93,176.0,0.0,0.0,350,350,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
966,1,36,25,2,69,92.0,0.0,0.0,475,550,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
968,2,60,53,1,75,85.0,7000.0,0.0,1050,1172,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
971,1,60,23,1,35,100.0,0.0,0.0,1500,2610,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
974,1,48,46,1,103,125.0,1500.0,0.0,1100,1408,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
982,4,60,52,1,97,72.0,0.0,0.0,1200,1200,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
984,0,36,43,1,35,49.0,2000.0,0.0,400,710,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
988,4,60,27,2,35,,0.0,0.0,1700,1700,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
997,6,36,49,2,113,380.0,0.0,0.0,1000,1337,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1000,2,60,24,1,35,,0.0,0.0,850,989,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1002,0,60,48,1,75,100.0,7000.0,0.0,1000,1129,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1004,5,48,32,2,45,225.0,0.0,0.0,1000,1812,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1007,3,36,40,2,75,176.0,0.0,0.0,950,1150,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1009,3,60,27,1,90,126.0,4000.0,0.0,1400,1800,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1011,1,60,36,1,60,101.0,0.0,0.0,850,1098,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1012,10,60,31,1,60,119.0,0.0,0.0,1600,1750,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1014,0,48,40,1,90,113.0,3500.0,0.0,600,710,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1016,0,60,39,2,35,,0.0,0.0,2350,2679,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1019,0,36,22,1,60,137.0,0.0,0.0,700,900,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1021,5,60,36,1,90,62.0,3000.0,0.0,650,1295,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1026,3,36,35,2,60,144.0,3000.0,0.0,475,690,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1035,43,60,57,2,45,283.0,8000.0,0.0,900,1168,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1039,0,60,36,2,85,100.0,0.0,0.0,1100,1256,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1043,3,36,32,1,35,,0.0,0.0,950,1350,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1045,2,60,21,1,35,86.0,0.0,0.0,1400,1600,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1053,12,60,47,2,75,285.0,20000.0,0.0,1440,1440,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1070,2,24,37,1,35,78.0,0.0,0.0,800,1298,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1078,0,48,28,1,66,64.0,0.0,0.0,1100,1365,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1080,3,36,21,1,35,85.0,0.0,0.0,105,105,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1091,4,36,28,1,35,116.0,0.0,0.0,925,1350,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1096,2,60,57,1,50,52.0,1800.0,0.0,800,866,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1097,0,24,46,2,35,78.0,0.0,0.0,550,550,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1099,0,60,44,1,60,,25000.0,0.0,850,972,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1112,0,48,39,2,153,330.0,0.0,0.0,1000,1260,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1122,15,24,47,2,79,41.0,7000.0,0.0,1200,2257,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1124,5,36,26,1,35,,5000.0,3000.0,1200,2140,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1132,0,60,62,2,90,136.0,2650.0,0.0,600,790,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
