,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11887,36.0,3.0,2.0,100000.0,0.0,12812.61,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
88188,36.0,3.0,3.0,33600.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
91195,36.0,2.0,9.0,34000.0,0.0,3746.04,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87798,36.0,2.0,2.0,35000.0,0.0,6243.45,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
51465,60.0,2.0,4.0,68000.0,0.0,29325.22,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81739,36.0,3.0,3.0,35000.0,0.0,7210.74,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7126,36.0,2.0,10.0,53000.0,0.0,7039.68,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
93654,36.0,5.0,,20672.0,0.0,5182.59,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30850,36.0,2.0,5.0,32541.0,0.0,5335.57,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
63250,36.0,2.0,1.0,60000.0,0.0,6320.7,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49780,36.0,3.0,,81000.0,0.0,11684.45,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66029,36.0,1.0,3.0,100000.0,0.0,6392.13,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20322,36.0,1.0,0.0,85000.0,0.0,6904.17,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28252,36.0,2.0,7.0,40000.0,0.0,10265.28,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69781,36.0,2.0,3.0,51000.0,0.0,6252.05,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54562,36.0,2.0,4.0,65000.0,0.0,5383.3,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
36038,36.0,3.0,4.0,87117.0,0.0,9005.59,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9814,36.0,2.0,10.0,105000.0,0.0,24528.37,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63513,60.0,4.0,10.0,62000.0,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40867,36.0,1.0,3.0,55000.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
57687,36.0,3.0,3.0,30000.0,0.0,3109.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
89422,36.0,1.0,6.0,127000.0,0.0,14691.26,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90561,36.0,4.0,10.0,60000.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
49106,36.0,2.0,10.0,125000.0,0.0,13555.53,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69970,36.0,2.0,0.0,125000.0,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
70778,60.0,4.0,10.0,90000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48818,36.0,1.0,7.0,48215.0,0.0,1998.28,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4939,36.0,2.0,4.0,213000.0,0.0,9710.77,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34967,60.0,3.0,6.0,80000.0,0.0,15053.84,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4881,36.0,4.0,1.0,105000.0,0.0,10907.14,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95028,60.0,5.0,10.0,98000.0,0.0,10127.54,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
65080,36.0,3.0,0.0,38000.0,0.0,2221.37,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10049,36.0,3.0,1.0,55080.0,0.0,9092.15,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26491,36.0,4.0,4.0,100000.0,0.0,5768.9,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
76418,60.0,3.0,10.0,74471.0,0.0,20709.87,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63653,36.0,1.0,10.0,85000.0,0.0,6392.13,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
62369,36.0,2.0,3.0,70000.0,0.0,6512.54,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
94487,36.0,2.0,3.0,90000.0,0.0,1248.93,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10618,60.0,3.0,7.0,115000.0,0.0,15680.65,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54009,36.0,2.0,10.0,165000.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71285,36.0,1.0,9.0,79000.0,0.0,8309.71,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14896,36.0,4.0,0.0,22000.0,0.0,4615.45,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
94609,36.0,1.0,4.0,105000.0,0.0,5216.82,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9709,36.0,2.0,7.0,43680.0,0.0,7008.1,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4656,36.0,4.0,1.0,80000.0,0.0,0.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9801,36.0,2.0,3.0,45000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41040,36.0,3.0,10.0,53000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30840,36.0,3.0,0.0,80000.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30576,60.0,4.0,2.0,200000.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
93915,60.0,1.0,2.0,200000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25399,36.0,5.0,10.0,86100.0,0.0,26047.18,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12962,36.0,2.0,10.0,52870.0,0.0,7008.1,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93143,36.0,1.0,10.0,225000.0,0.0,21300.06,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46366,36.0,2.0,10.0,74700.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28720,36.0,1.0,6.0,109000.0,0.0,18399.13,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8925,36.0,1.0,10.0,100000.0,0.0,9025.68,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55777,36.0,2.0,1.0,75000.0,0.0,4233.12,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76047,36.0,3.0,3.0,54000.0,0.0,2320.84,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
54563,36.0,2.0,3.0,40000.0,0.0,3387.87,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
90681,36.0,2.0,10.0,70000.0,0.0,12459.29,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
43296,36.0,1.0,10.0,73000.0,0.0,6038.6,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28213,36.0,3.0,0.0,100000.0,0.0,8864.05,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
73020,36.0,2.0,10.0,126000.0,0.0,5207.97,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14697,36.0,1.0,2.0,120000.0,0.0,27616.68,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
46071,36.0,4.0,10.0,67000.0,0.0,8434.22,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33640,36.0,2.0,0.0,25000.0,0.0,3889.58,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5707,36.0,1.0,2.0,75000.0,0.0,4965.1,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59513,36.0,4.0,10.0,90250.0,0.0,1699.32,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90748,60.0,4.0,3.0,168000.0,0.0,13225.2,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
63697,36.0,2.0,2.0,175000.0,0.0,2240.22,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92983,36.0,3.0,5.0,38000.0,0.0,6315.28,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52886,36.0,1.0,9.0,175000.0,0.0,19907.86,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
