,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
54042,36.0,4.0,,20000.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17149,36.0,3.0,0.0,72000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15736,36.0,4.0,10.0,60000.0,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2771,60.0,3.0,2.0,155000.0,0.0,25895.44,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26871,36.0,3.0,1.0,83000.0,0.0,24844.25,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85165,60.0,3.0,10.0,195000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47529,36.0,3.0,9.0,94572.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7362,36.0,4.0,10.0,135000.0,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
60247,36.0,3.0,3.0,42720.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2502,36.0,2.0,3.0,37000.0,0.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64112,36.0,4.0,10.0,55000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21805,60.0,6.0,7.0,94700.0,0.0,26553.94,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6426,36.0,4.0,2.0,41000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72426,36.0,5.0,10.0,72000.0,0.0,23503.34,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10329,60.0,6.0,2.0,80000.0,0.0,0.0,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
95427,36.0,4.0,3.0,30000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
44395,36.0,5.0,9.0,40000.0,0.0,12275.45,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
68923,60.0,5.0,10.0,23000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54491,60.0,2.0,1.0,150000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54794,36.0,6.0,,33498.12,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34666,36.0,3.0,10.0,107000.0,0.0,9868.83,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
86913,36.0,3.0,4.0,109200.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29355,36.0,5.0,9.0,65000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61017,36.0,3.0,3.0,29280.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
45467,60.0,4.0,10.0,79100.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51278,36.0,3.0,10.0,27000.0,0.0,13832.65,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79344,36.0,2.0,10.0,250000.0,0.0,20235.45,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11287,36.0,3.0,10.0,290000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5040,36.0,3.0,3.0,34000.0,0.0,8879.12,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43157,36.0,3.0,3.0,69000.0,0.0,0.0,19.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
61092,36.0,1.0,0.0,55000.0,0.0,6644.3,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11040,36.0,2.0,9.0,60000.0,0.0,10129.89,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
